H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
50000,49900,100,5,16,2,105,88,90,199,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,108
50000,49900,100,5,16,4,105,88,92,201,112718106910522900246574236041,30093,30093,True,False,1,,30093,30093,30093,30093,110
100000,99900,100,5,4,0,105,175,175,196,712790913767420805655493624646,41260,,False,True,2,,41259,41260,41259,41260,106
100000,99900,100,5,4,1,105,175,176,196,712790913767420805655493624646,41260,,False,True,2,,41259,41260,41259,41260,106
100000,99900,100,5,4,2,105,175,177,197,712790913767420805655493624646,41260,41260,True,False,1,,41260,41260,41260,41260,107
100000,99900,100,5,4,4,105,175,179,198,712790913767420805655493624646,41260,41260,True,False,1,,41260,41260,41260,41260,108
100000,99900,100,5,16,0,105,88,88,196,712790913767420805655493624646,41260,,False,True,2,,41259,41260,41259,41260,106
100000,99900,100,5,16,1,105,88,89,198,712790913767420805655493624646,41260,41260,True,False,1,,41260,41260,41260,41260,108
100000,99900,100,5,16,2,105,88,90,199,712790913767420805655493624646,41260,41260,True,False,1,,41260,41260,41260,41260,109
100000,99900,100,5,16,4,105,88,92,201,712790913767420805655493624646,41260,41260,True,False,1,,41260,41260,41260,41260,111
500000,499900,100,5,4,0,105,175,175,196,193325290740424876025138195242,69739,,False,True,2,,69738,69739,69738,69739,106
500000,499900,100,5,4,1,105,175,176,196,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,106
500000,499900,100,5,4,2,105,175,177,197,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,107
500000,499900,100,5,4,4,105,175,179,198,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,108
500000,499900,100,5,16,0,105,88,88,196,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,106
500000,499900,100,5,16,1,105,88,89,198,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,107
500000,499900,100,5,16,2,105,88,90,199,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,109
500000,499900,100,5,16,4,105,88,92,201,193325290740424876025138195242,69739,69739,True,False,1,,69739,69739,69739,69739,111
1000000,999900,100,5,4,0,105,175,175,196,996346460422090106105779458151,30927,30927,True,False,1,,30927,30927,30927,30927,104
1000000,999900,100,5,4,1,105,175,176,196,996346460422090106105779458151,30927,30927,True,False,1,,30927,30927,30927,30927,105
1000000,999900,100,5,4,2,105,175,177,197,996346460422090106105779458151,30927,30927,True,False,1,,30927,30927,30927,30927,106
1000000,999900,100,5,4,4,105,175,179,198,996346460422090106105779458151,30927,30927,True,False,1,,30927,30927,30927,30927,107
1000000,999900,100,5,16,0,105,88,88,196,996346460422090106105779458151,30927,30927,True,False,1,,30927,30927,30927,30927,105
